Folio,Topic Heading,Source (original),Text (original),Source (standardized),Text (standardized),Citation,STC number,Notes
5-2r,Industry frugality,pro. 20 4,"The Slugard will not plough by 
Reason of the Cold, therfore shall 
hee beg in haruest & haue nothing",Proverbs 20.4,"The sluggard will not plow by reason of the cold; therefore shall he beg in harvest, and have nothing.",,,
5-2r,Industry frugality,pro. 26. 16,"The Slugard is wiser in his owne Conceit 
then Seuen men yt Can Render a Reason",Proverbs 26.16,The sluggard is wiser in his own conceit than seven men that can render a reason.,,,
5-2r,Industry frugality,pro. 24. 33,"Yet a little Sleepe a little Slumber a 
Little folding of the hands to Sleepe, 
So shall thy pouerty Come as one that 
trauileth, and thy want as an Armed man",Proverbs 24.33-34,"33 Yet a little sleep, a little slumber, a little folding of the hands to sleep: 34 So shall thy poverty come as one that travelleth; and thy want as an armed man.",,,No attribution for verse 34
5-2r,Industry frugality,Pro. 6. 6,"Goe to the Ant thou Slugard Consider
her wayes & bee wise",Proverbs 6.6,"Go to the ant, thou sluggard; consider her ways, and be wise:",,,
5-2r,Industry frugality,Ecc. 25. 3,"If thou hast gathered nothing in thy youth 
how shalt yu find an thing in thy age",Ecclesiasticus 25.3,"If thou hast gathered nothing in thy youth, how canst thou find any thing in thine age?",,,
5-2r,Industry frugality,Ecc. 40. 29,"The life of him yt depends vpon an 
other mans table, Cannot be Counted 
for a Life, for hee poluts himselfe 
wth other mens meat. but a wise man 
well nurtered will be ware 
of it",Ecclesiasticus 40.29,The life of him that dependeth on another man's table is not to be counted for a life; for he polluteth himself with other men's meat: but a wise man well nurtured will beware thereof.,,,
5-3r,Hope Confidens Security,pro. 13. 12,"Hope defered maketh the heart Sick 
But when the desier Cometh it is 
A tree of Life",Proverbs 13.12,"Hope deferred maketh the heart sick: but when the desire cometh, it is a tree of life.",,,
5-3r,Hope Confidens Security,Spalme. 125. 1,"They that put their trust in the Lord 
Shall bee as mount Sion wch shall not
bee remoued but standeth fast for euer",Psalms 125.1,"They that trust in the LORD shall be as mount Zion, which cannot be removed, but abideth for ever",,,
5-3r,Hope Confidens Security,Ecc. 2. 10,"Look to the generations of old and See
 did euer any trust in the lord and 
were Confounded",Ecclesiasticus 2.10,"Look at the generations of old, and see; did ever any trust in the Lord, and was confounded? or did any abide in his fear, and was forsaken? or whom did he ever despise, that called upon him?",,,Omitted last two questions
5-3r,Hope Confidens Security,pro. 3. 5,"Trust in ye lord wth all thy heart, & leaue 
not to thyn owne vnderstanding",Proverbs 3.5,Trust in the Lord with all thine heart; and lean not unto thine own understanding.,,,
5-3r,Hope Confidens Security,pro. 21. 31,"The hors is prepared against the day of 
Battaill: but Saufty is of the Lord",Proverbs 21.31,The horse is prepared against the day of battle: but safety is of the Lord,,,
5-3r,Hope Confidens Security,Spalme. 37. 3,"Put thy trust in the lord and bee doing 
Good dwell in the Land and verily 
thou shalt bee feed",Psalms 37.3," Trust in the LORD, and do good; so shalt thou dwell in the land, and verily thou shalt be fed.",,,
5-3v,Hope Confidenc Security,Spalme. 146. 3,"Put not your trust in princes nor in 
any Childe of man for there is noe helpe 
In them",Psalms 146.3,"Put not your trust in princes, nor in the son of man, in whom there is no help.",,,
5-3v,Hope Confidenc Security,pro. 25. 19,"Confidenc in an vnfaithfull man in 
tyme of trouble, is like a broken tooth 
and a foote out of Joynt",Proverbs 25.19,"Confidence in an unfaithful man in time of trouble is like a broken tooth, and a foot out of joint.",,,
5-3v,Hope Confidenc Security,Spalme. 62. 9,"The Children of men are but vaine
the Children of men are deceitfull 
vpon the weights, they are alltogether
 Lighter then vanity it Selfe",Psalms 62.9 (Geneva Bible),"Yet the children of men are vanity, the chief men are liars: to lay them upon a balance they are altogether lighter than vanity.",,,"KJV of the same verse reads: Surely men of low degree are vanity, and men of high degree are a lie: to be laid in the balance, they are altogether lighter than vanity."
5-3v,Hope Confidenc Security,Micha. 7. 5,"Trust not a friend. Neither put 
Confidenc in a Counselor: Keepe the 
dore of thy mouth from her that 
Lyes in thy Bosom",Micah 7.5,"Trust ye not in a friend, put ye not confidence in a guide: keep the doors of thy mouth from her that lieth in thy bosom.",,,
5-4r,Hope Confidenc Security,Ecc. 33. 10,"Giue not thy Son and wife thy 
Brother and friend poure ouer thee 
as long as thou liuest. and giue not 
thy Goods to an other least it repent 
thee. & thou Intreat for ye Same again",Ecclesiasticus 33.19,"Give not thy son and wife, thy brother and friend, power over thee while thou livest, and give not thy goods to another: lest it repent thee, and thou intreat for the same again.",,,Verse misattributed
5-4r,Hope Confidenc Security,Ecc. 5. 7,"Make noe tariing to turne to the 
Lord. and put not of from from day to day 
for Sodainly shall the wrath of ye lord 
Com forth, and in thy Security then 
shalt bee destroyed, and perish in
the Day of Venganc",Ecclesiasticus 5.7,"Make no tarrying to turn to the Lord, and put not off from day to day: for suddenly shall the wrath of the Lord come forth, and in thy security thou shalt be destroyed, and perish in the day of vengeance.",,,
5-5r,Pleasur Mirth Content,pro. 15. 13,"A mery heart maketh Cheerfull 
Countenanc, but by the Sorrowes of 
the heart the Spirit is Broken",Proverbs 15.33,A merry heart maketh a cheerful countenance: but by sorrow of the heart the spirit is broken.,,,
5-5r,Pleasur Mirth Content,Ecc. 1. 12,"The feare of the lord maketh a Merry 
heart, and giueth Joy and Gladnes 
and Long life",Ecclesiasticus 1.12,"The fear of the Lord maketh a merry heart, and giveth joy, and gladness, and a long life.",,,
5-5r,Pleasur Mirth Content,Ecc. 26. 4,"Whether a man bee Rich or poore. if 
hee haue a good heart toward ye Lord 
hee shall at all tymes Reioyce with 
A Cheerfull Countenanc",Ecclesiasticus 26.4,"Whether a man be rich or poor, if he have a good heart toward the Lord, he shall at all times rejoice with a cheerful countenance.",,,
5-5r,Pleasur Mirth Content,Ecc. 30. 22,"The Gladnes of the heart is the Life 
of man, and the Joyfullnes of a man 
prolongs his Dayes: Loue thyn 
owne Soule and Comfort thy heart 
Remoue Sorrow from thee, for 
Sorrow hath Kiled many, and 
there is noe profit therein",Ecclesiasticus 30.22-23,"22 The gladness of the heart is the life of man, and the joyfulness of a man prolongeth his days. 23 Love thine own soul, and comfort thy heart, remove sorrow far from thee: for sorrow hath killed many, and there is no profit therein.",,,No attribution for verse 23
5-5v,Mirth Pleasur Content,Ecc. 19. 5,"Who so taketh pleasur in wickednes 
shall bee Condemned, but hee that 
Resisteh pleasur Crowneth his Life",Ecclesiasticus 19.5,Whoso taketh pleasure in wickedness shall be condemned: but he that resisteth pleasures crowneth his life.,,,
5-5v,Mirth Pleasur Content,Ecc. 21. 20,"A foole lifteth vp his voice wth Laughter 
but a wise man doth scarse Smyle 
a little",Ecclesiasticus 21.20,A fool lifteth up his voice with laughter; but a wise man doth scarce smile a little.,,,
5-5v,Mirth Pleasur Content,Eclesiastes. 7. 6,"As the Crakling of thornes vnder a 
pot, so is the Laughter of a foole",Ecclesiastes 7.6,"For as the crackling of thorns under a pot, so is the laughter of the fool: this also is vanity.",,,
5-5v,Mirth Pleasur Content,Ecc. 19. 18,"A mans Garment and his Excesiue 
Laughter. & Going declare what hee is",Ecclesiasticus 19.30,"A man's attire, and excessive laughter, and gait, shew what he is.",,,Verse misattribution
5-5v,Mirth Pleasur Content,pro. 21. 17,"Hee that loues pastyme shall be a poore 
man, & he yt loues wine & oyle shall not 
bee Rich",Proverbs 21.17,He that loveth pleasure shall be a poor man: he that loveth wine and oil shall not be rich.,,,
5-5v,Mirth Pleasur Content,Ecc. 11 27,"The Afflictions of an hower maketh a 
Man forget pleasur, and in his End
his deeds shall bee Discouered",Ecclesiasticus 11.27,The affliction of an hour maketh a man forget pleasure: and in his end his deeds shall be discovered.,,,
5-6r,Pleasur Content,Ecc. 4. 18,"To Labour and to bee Content 
with that a man hath is A 
Swete Life",Ecclesiasticus 40.18,"To labour, and to be content with that a man hath, is a sweet life: but he that findeth a treasure is above them both.",,,Chapter misattribution 
5-6r,Pleasur Content,Ecc. 29. 22,"Better is the life of a poore man 
In a meane Cottage, then delicat 
farer in an other mans howse",Ecclesiasticus 29.22,"Better is the life of a poor man in a mean cottage, than delicate fare in another man's house.",,,
5-7r,Honour Dignity,pro. 18. 22,"Before distruction ye heart of man is 
hautie, & before honour goeth humility",Proverbs 18.12,"Before destruction the heart of man is haughty, and before honour is humility.",,,
5-7r,Honour Dignity,Ecc. 10. 24,"Great men & potentats shall bee 
honoured but there is none of 
them greater then hee yt  feares ye Lord",Ecclesiasticus 10.24,"Great men, and judges, and potentates, shall be honoured; yet is there none of them greater than he that feareth the Lord.",,,
5-7r,Honour Dignity,pro. 26. 7,"As Snow in Sumer & Rayn in haruist 
So honour is not Semly for a foole",Proverbs 26.7,"As snow in summer, and as rain in harvest, so honour is not seemly for a fool.",,,Verse misattribution
5-7r,Honour Dignity,Ecc. 7. 4,"Seeke not of the Lord preheminenc 
Nor of ye King the Seat of honour",Ecclesiasticus 7.4,"Seek not of the Lord preeminence, neither of the king the seat of honour.",,,
5-7r,Honour Dignity,pro. 25. 27,"It is not Good to eate much Hony 
so for men to Seeke their owne 
Glory it is not Glory",Proverbs 25.27,It is not good to eat much honey: so for men to search their own glory is not glory.,,,
5-8r,Wealth Riches Prosperity,pro. 10. 22,"The blesing of the lord maketh Rich 
and hee doth add noe Sorrow wth it",Proverbs 10.22,"The blessing of the LORD, it maketh rich, and he addeth no sorrow with it.",,,
5-8r,Wealth Riches Prosperity,pro. 28. 8,"Hee that by vsery or vniust gaine 
Increaseth his Substanc, hee shall 
Gather it for him yt will pitty ye poore",Proverbs 28.8,"He that by usury and unjust gain increaseth his substance, he shall gather it for him that will pity the poor.",,,
5-8r,Wealth Riches Prosperity,Ecc. 31. 8,"Blesed is the Rich that is found wthout 
blemish, & hath not gon after Gold",Ecclesiasticus 31.8,"Blessed is the rich that is found without blemish, and hath not gone after gold.",,,
5-8r,Wealth Riches Prosperity,Luke. 12. 33,"Prouid your selue bags that wax not 
old, and treasur in the heauens 
that fadeth not, where no Theefe 
approacheth, nor moth Corrupteth 
for where your treasur is, there
will your hearts bee also",Luke 12.33-34,"33 Sell that ye have, and give alms; provide yourselves bags which wax not old, a treasure in the heavens that faileth not, where no thief approacheth, neither moth corrupteth. 34 For where your treasure is, there will your heart be also.",,,Omitted first clause
5-8r,Wealth Riches Prosperity,Mathew. 19. 23,"A Rich man Can hardly enter into 
the kingdom of heaue",Matthew 19.23,"Then said Jesus unto his disciples, Verily I say unto you, That a rich man shall hardly enter into the kingdom of heaven.",,,Omitted first clause (reference to Jesus)
5-8v,Wealth Riches prosperity,Marke. 10. 24,"How hard is it for them that trust 
In Riches to enter into the Kingdom 
of God",Mark 10.24,"And the disciples were astonished at his words. But Jesus answereth again, and saith unto them, Children, how hard is it for them that trust in riches to enter into the kingdom of God!",,,Omitted reference to Jesus
5-8v,Wealth Riches prosperity,first Timothy. 6. 17,"Charg them that are Rich in this 
world that they be not high minded 
Nor trust in vncertaine Riches 
but in the liueing God who giueth 
vs Richly all thing to Inioy",1 Timothy 6.17,"Charge them that are rich in this world, that they be not highminded, nor trust in uncertain riches, but in the living God, who giveth us richly all things to enjoy;",,,
5-8v,Wealth Riches prosperity,pro. 27. 24,"for Riches are not for euer, & doth 
the Crowne endure to every 
Generation",Proverbs 27.24,For riches are not for ever: and doth the crown endure to every generation?,,,
5-8v,Wealth Riches prosperity,Ecc. 13. 24,"Riches are good to him that hath 
noe Syn, and pouerty is Evill 
In the mouth of the vngodly",Ecclesiasticus 13.24,"Riches are good unto him that hath no sin, and poverty is evil in the mouth of the ungodly.",,,
6-1r,Wealth Riches prosperity,pro. 3. 9,"Honour the lord with thy Substanc 
and with the first fruits of thy 
Increase: So shall thy harnes bee 
filled with plenty. and thy preses 
shall burst with New wyne",Proverbs 3.9-10,"9 Honour the LORD with thy substance, and with the firstfruits of all thine increase: 10 So shall thy barns be filled with plenty, and thy presses shall burst out with new wine.",,,No attribution for verse 10
6-1r,Wealth Riches prosperity,Ecc. 5. 1,"Set not thy heart vpon thy Riches 
and say not I haue Inough for 
my Selfe",Ecclesiasticus 5.1,"Set thy heart upon thy goods; and say not, I have enough for my life.",,,
6-1r,Wealth Riches prosperity,pro. 11. 4,"Riches auaile not in ye day of wrath 
but righteousnes deliuers from death",Proverbs 11.4,Riches profit not in the day of wrath: but righteousness delivereth from death.,,,
6-1r,Wealth Riches prosperity,Zephany. 1. 18,"Neither their Gold nor their Siluer 
shall be able to deliuer them in 
the day of the lords wrath",Zephaniah 1.18,Neither their silver nor their gold shall be able to deliver them in the day of the LORD'S wrath; but the whole land shall be devoured by the fire of his jealousy: for he shall make even a speedy riddance of all them that dwell in the land.,,,Omitted the last two clauses
6-1r,Wealth Riches prosperity,Wisdom. 5. 8,"what hath prid profited vs, or what 
Good hath riches wth our vanting broug 
vs, all thes things are past away 
like a Shadow and a as a peste 
that hasteth by",Wisdom of Solomon 5.8-9,"8 What hath pride profited us? or what good hath riches with our vaunting brought us? 9 All those things are passed away like a shadow, and as a post that hasted by",,,No attribution for verse 9
6-1v,Wealth Riches prosperity,pro. 13. 11,"Wealth gotten by vanity shall bee 
deminished, but hee that gathereth 
by labour shall Increase",Proverbs 13.11,Wealth gotten by vanity shall be diminished: but he that gathereth by labour shall increase.,,,
6-1v,Wealth Riches prosperity,pro. 16. 8,"Better is a little with Righteousnes 
then great Reuenues wthout Right",Proverbs 16.8,Better is a little with righteousness than great revenues without right.,,,
6-1v,Wealth Riches prosperity,Dutreno. 8. 17,"Beware thou say not in thy heart 
my poure & the might of my hands 
hath Goten mee this wealth",Deuteronomy 8.17,"And thou say in thine heart, My power and the might of mine hand hath gotten me this wealth.",,,"Changed to ""beware"" in order to eliminate context problems"
6-1v,Wealth Riches prosperity,Ecc. 14. 3,"Riches are not Comly for a Nigard 
And what should an Enuious man 
doe with Mony",Ecclesiasticus 14.3,Riches are not comely for a niggard: and what should an envious man do with money?,,,
6-2r,Wealth Riches prosperity,Eclesiastes. 6. 2,"A Man to whome God hath Giuen 
Riches wealth and Honour, So 
that he wanteth nothing for his 
Soule of all that hee desireth, 
Yet God giueth him noe power 
to Eate thereof, But a Stranger 
eateth it: This is Vanity and 
an Evill Disease",Ecclesiastes 6.2,"A man to whom God hath given riches, wealth, and honour, so that he wanteth nothing for his soul of all that he desireth, yet God giveth him not power to eat thereof, but a stranger eateth it: this is vanity, and it is an evil disease",,,
6-2r,Wealth Riches prosperity,pro. 19. 4,"Wealth maketh many friends, but 
the poore is Separated from his 
Neighbour",Proverbs 19.4,Wealth maketh many friends; but the poor is separated from his neighbour.,,,
6-3r,fayme,pro. 22. 1,"A Good Name is rather to be Chosen 
then Great Riches, and loueing fauour 
Rather then Siluer or Gould",Proverbs 22.1,"A good name is rather to be chosen than great riches, and loving favour rather than silver and gold.",,,
6-3r,fayme,pro. 10. 17,"The memory of the Just is Blessed 
but the Name of the Justwicked shall 
Rott",Proverbs 10.7,The memory of the just is blessed: but the name of the wicked shall rot.,,,Misattribution of verse
6-3r,fayme,pro. 15. 30,"The light of the eyes reioyceth ye heart 
And a Good name maketh ye bones fatt",Proverbs 15.30,The light of the eyes rejoiceth the heart: and a good report maketh the bones fat.,,,
6-3r,fayme,Ecc. 40. 19,"Children and the building of a Cyty 
Contineu a mans Name. but a blamles 
wyfe is Conted aboue them Both",Ecclesiasticus 40.19,Children and the building of a city continue a man's name: but a blameless wife is counted above them both.,,,
6-3r,fayme,Spalme. 49. 18,"As long as thou dost well vnto thy Selfe 
Men will Speake Good of thee",Psalms 49.18,"Though while he lived he blessed his soul: and men will praise thee, when thou doest well to thyself.",,,Different order of sentence and omission of first part of sentence 
6-3r,fayme,Ecc. 41. 13,"A Good Life hath but a few Dayes 
but a Good Name Enduereth for ever",Ecclesiasticus 41.13,A good life hath but few days: but a good name endureth for ever.,,,
6-3v,fayme,Ecc. 41: 12,"haue a regard to thy name: for that 
shall Continew with thee aboue a 
Thousand Treasurs of Gold",Ecclesiasticus 41.12,Have regard to thy name; for that shall continue with thee above a thousand great treasures of gold.,,,
6-4r,flattery Reproofe,pro. 29. 1,"Hee that flattereth his Neighbour 
Spreadeth a Neet for his feete",Proverbs 29.5,A man that flattereth his neighbour spreadeth a net for his feet,,,Verse misattributed
6-4r,flattery Reproofe,Job. 17. 5,"Hee that Speakes flattery to his freind 
the Eyes of his Children Shall faill",Job 17.5,"He that speaketh flattery to his friends, even the eyes of his children shall fail.",,,
6-4r,flattery Reproofe,pro. 27. 6,"faithfull are the wounds of a friend 
but ye kises if an Enimy are Deceitfull",Proverbs 27.6,Faithful are the wounds of a friend; but the kisses of an enemy are deceitful.,,,
6-4r,flattery Reproofe,pro. 17. 10,"A Reproofe entereth more with a wyse 
man then an hundred strips into a foole",Proverbs 17.10,A reproof entereth more into a wise man than an hundred stripes into a fool.,,,
6-4r,flattery Reproofe,Ecc. 20. 2,"It is much better to reproue then to 
be Angry Secretly: and hee that 
Confeseth his Syn shall be preserved 
from hurte",Ecclesiasticus 20.2,"It is much better to reprove, than to be angry secretly: and he that confesseth his fault shall be preserved from hurt.",,,
6-4r,flattery Reproofe,Eclesiastes. 7. 7,"Better it is to heare the Rebuke of a 
wyse man, then that a man should 
heare the Songs of fooles",Ecclesiastes 7.5,"It is better to hear the rebuke of the wise, than for a man to hear the song of fools.",,,Verse misattributed
6-4v,flatery Reproofe,Ecc. 20. 1,"There is a Reproofe yt is not Comly 
againe Some man holdeth his peace 
and is wyse",Ecclesiasticus 20.1,"There is a reproof that is not comely: again, some man holdeth his tongue, and he is wise.",,,
6-4v,flatery Reproofe,Ecc. 11. 7,"Blame not before thou hast heard the 
truth, vnderstand first & then Rebuke",Ecclesiasticus 11.7,"Blame not before thou hast examined the truth: understand first, and then rebuke.",,,
6-4v,flatery Reproofe,pro. 9. 8,"Rebuke not a Scorner least he hate thee 
rebuke a wis man & hee will loue thee",Proverbs 9.8,"Reprove not a scorner, lest he hate thee: rebuke a wise man, and he will love thee.",,,
6-4v,flatery Reproofe,Ecc. 21. 6,"Hee that hats to be Repoued is in the 
way of Siners, but hee that feareth 
the lord will repent from his heart",Ecclesiasticus 21.6,He that hateth to be reproved is in the way of sinners: but he that feareth the Lord will repent from his heart.,,,
6-4v,flatery Reproofe,pro. 25. 12,"As an earring of Gold & an ornament 
of fine Gold so is a wise reproofe vpon
an Obedient Eare",Proverbs 25.12,"As an earring of gold, and an ornament of fine gold, so is a wise reprover upon an obedient ear.",,,
6-4v,flatery Reproofe,Ecc. 20. 3,"How Good is it when thou art repro=
=ued to Shew Repentanc. for so shalt 
thou Escape willfull Syn",Ecclesiasticus 20.3,"How good is it, when thou art reproved, to shew repentance! for so shalt thou escape wilful sin.",,,
6-5r,flattery Reproofe,pro. 13. 18,"pouerty and Shame is to him that 
Refuseth Instruction, but hee that 
Regardeth Correction shall be honoured",Proverbs 13.18,Poverty and shame shall be to him that refuseth instruction: but he that regardeth reproof shall be honoured.,,,
6-5r,flattery Reproofe,pro. 29. 1,"Hee that being often Reproued 
hardneneth his Neck: shall sodainly 
be destroyed & that wthout Remidy",Proverbs 29.1,"He, that being often reproved hardeneth his neck, shall suddenly be destroyed, and that without remedy.",,,
6-6r,folly Selfe Conceit,pro. 29. 11,"A foole vttereth all his mynd, but 
a wise man keeps it in till afterwards",Proverbs 29.11,A fool uttereth all his mind: but a wise man keepeth it in till afterwards.,,,
6-6r,folly Selfe Conceit,Ecc. 21. 9,"Doctrin vnto fooles is as fetters one 
the feete, & manacles vpon ye right hand",Ecclesiasticus 21.19,"Doctrine unto fools is as fetters on the feet, and like manacles on the right hand.",,,Misattribution of verse
6-6r,folly Selfe Conceit,pro. 26. 3,"To the horse belongs a whip, to the 
Ass a bridle & a Rod to ye fooles back",Proverbs 26.3,"A whip for the horse, a bridle for the ass, and a rod for the fool's back.",,,
6-6r,folly Selfe Conceit,pro. 12. 16,"A foole in a day shall be known by 
his anger, but hee that Couereth 
Shame is wyse",Proverbs 12.16,A fool's wrath is presently known: but a prudent man covereth shame.,,,
6-6r,folly Selfe Conceit,pro. 12. 15,"The way of a foole is Right in his 
owne Eyes, but hee that heareth 
Counsell is wyse",Proverbs 12.15,The way of a fool is right in his own eyes: but he that hearkeneth unto counsel is wise.,,,Switched the order
6-6r,folly Selfe Conceit,Ecc. 22. 12,"Who so telleth a foole of wisdom is as 
A man yt speakes to one that is a Sleepe 
when hee hath told his tale he saith 
what is the matter",Ecclesiasticus 22.12,Seven days do men mourn for him that is dead; but for a fool and an ungodly man all the days of his life.,,,
6-6v,Folly Selfe Conceit,pro. 16. 2,"All the wayes of a Man are Cleane
in his owne Eyes, but the Lord 
weigheth the Spirits",Proverbs 16.2,All the ways of a man are clean in his own eyes; but the LORD weigheth the spirits.,,,
6-6v,Folly Selfe Conceit,pro. 26. 12,"Seest thou a man wise in his owne
 Conceit there is more hope of a 
foole then of him",Proverbs 26.12,Seest thou a man wise in his own conceit? there is more hope of a fool than of him.,,,
6-6v,Folly Selfe Conceit,Eclesiastes. 2. 14,"The wyse mans Eyes are in his head 
but the foole walketh in Darknes",Ecclesiastes 2.14,The wise man's eyes are in his head; but the fool walketh in darkness: and I myself perceived also that one event happeneth to them all.,,,"Omitted last clause, which changes the perspective"
6-6v,Folly Selfe Conceit,pro. 17. 22,"Though thou shouldst Bray a foole 
In a Morter yet will not his 
foolishnes depart from him",Proverbs 27.22,"Though thou shouldest bray a fool in a mortar among wheat with a pestle, yet will not his foolishness depart from him.",,,Misattribution of chapter
6-6v,Folly Selfe Conceit,pro. 17. 12,"It is better for a man to meete a 
Beare Robbed of her whelpes then 
a foole in his folly
",Proverbs 17.22,"Let a bear robbed of her whelps meet a man, rather than a fool in his folly.",,,
6-7v,Adversity pouerty Greife,Ecc. 11. 14,"prosperity and Adversity life and 
death: pouerty & Riches Com of ye lord",Ecclesiasticus 11.14,"Prosperity and adversity, life and death, poverty and riches, come of the Lord.",,,
6-7v,Adversity pouerty Greife,pro. 22. 2,"The Rich and the poore meet together 
the Lord is the maker of them all",Proverbs 22.2 ,The rich and poor meet together: the LORD is the maker of them all.,,,
6-7v,Adversity pouerty Greife,Ecc. 1. 28,"Distrust not in the lord when thou 
art poore: and Com not to him wth
 a Double heart",Ecclesiasticus 1.28,Distrust not the fear of the Lord when thou art poor: and come not unto him with a double heart.,,,
6-7v,Adversity pouerty Greife,Ecc. 11. 21,"Trust in the lord and abid in thy 
Labours. for it is an Easy thing in 
the Sight of the lord, on the Sodain 
to make a poore man Rich",Ecclesiasticus 11.21,"Marvel not at the works of sinners; but trust in the Lord, and abide in thy labour: for it is an easy thing in the sight of the Lord on the sudden to make a poor man rich.",,,Omitted first clause
6-7v,Adversity pouerty Greife,pro. 22. 7,"The Rich Rule ouer the poore, & 
the borrower is Seruant to ye Lender",Proverbs 22.7,"The rich ruleth over the poor, and the borrower is servant to the lender.",,,
6-7v,Adversity pouerty Greife,pro. 10. 15,"The Rich mans wealth is his strong 
City: But the distruction of the 
poore is their pouerty
",Proverbs 10.15,The rich man's wealth is his strong city: the destruction of the poor is their poverty.,,,
6-8r,Aduesity pouerty Greife,Ecc. 13. 3,"The Rich man hath don wrong, and 
yet hee threatneth withall: the 
poore man is wronged & he must 
Intreat allso",Ecclesiasticus 13.3,"The rich man hath done wrong, and yet he threateneth withal: the poor is wronged, and he must intreat also.",,,
6-8r,Aduesity pouerty Greife,pro. 14. 20,"The poore is hated euen of his owne 
Neighbours. but the Rich hath 
many friends",Proverbs 14.20,The poor is hated even of his own neighbour: but the rich hath many friends.,,,
6-8r,Aduesity pouerty Greife,pro. 22. 22,"Rob not the poore because hee is 
poore. neither oppres the afflicted 
in the Gate. for the lord will plead 
their Cause, and Spoyle the Soule 
of him that Spoyleth them",Proverbs 22. 22-23,"22 Rob not the poor, because he is poor: neither oppress the afflicted in the gate: 23 For the LORD will plead their cause, and spoil the soul of those that spoiled them.",,,No attribution for verse 23
6-8r,Aduesity pouerty Greife,pro. 11. 24,"There is that Scatereth and yet
Increaseth, but hee that Spareth 
more then is Right, Surly Cometh 
to pouerty",Proverbs 11.24,"There is that scattereth, and yet increaseth; and there is that withholdeth more than is meet, but it tendeth to poverty.",,,
6-8v,Adversity pouerty Greife,Ecc. 2. 5,"Gold is tryed in the fier and 
Acceptable men in the furnace 
of Aduersity",Ecclesiasticus 2.5,"For gold is tried in the fire, and acceptable men in the furnace of adversity.",,,
6-8v,Adversity pouerty Greife,Ecc. 2. 4,"Whatsoeuer is brought vpon thee 
take it patiently Cheerfully. and
be patient when thou art Chan=
Ged to a lowe estate",Ecclesiasticus 2.4,"Whatsoever is brought upon thee take cheerfully, and be patient when thou art changed to a low estate.",,,Switched the order of the verses
6-8v,Adversity pouerty Greife,pro. 24. 10,"If thou fainte in the day of Adver=
sity, thy Strenght is Small",Proverbs 24.10,"If thou faint in the day of adversity, thy strength is small.",,,
7-1v,Contention Strife Rashnes,pro. 13. 10,"Only by pryd doe men make Contention 
but wth ye well advised is wisdom",Proverbs 13.10,Only by pride cometh contention: but with the well advised is wisdom.,,,
7-1v,Contention Strife Rashnes,pro. 17. 14,"The begining of strife is as when one 
leteth out watter, therefore leaue 
of Contention before it be medled wth",Proverbs 17.14,"The beginning of strife is as when one letteth out water: therefore leave off contention, before it be meddled with.",,,
7-1v,Contention Strife Rashnes,second Timothy. 2. 24,"The Seruant of the Lord must not 
Striue, but bee Gentle vnto all men 
Apt to teach patient",2 Timothy 2.24,"And the servant of the Lord must not strive; but be gentle unto all men, apt to teach, patient,",,,
7-1v,Contention Strife Rashnes,,"Hee that passeth by and medleth
 with strife that belongs not to him 
is like one that taketh a Doge by 
the Eare",Proverbs 26.17,"He that passeth by, and meddleth with strife belonging not to him, is like one that taketh a dog by the ears.",,,No attribution for chapter/verse
7-1v,Contention Strife Rashnes,pro. 25. 8,"Goe not forth hastily to Strife, least 
thou know not what to doe in the 
End when thy Neighbour hath 
put thee to Shame
",Proverbs 25.8,"Go not forth hastily to strive, lest thou know not what to do in the end thereof, when thy neighbour hath put thee to shame.",,,
7-2r,Contention Strife Rashnes,pro. 18. 6,"A fooles lips enter into Contention 
and his mouth Calleth for Strokes
",Proverbs 18.6,"A fool's lips enter into contention, and his mouth calleth for strokes.",,,
7-2r,Contention Strife Rashnes,pro. 26. 21,"As Coles to burning Coles, & wod to fier 
so is a Contentious man to stir vp strife",Proverbs 26.21,"As coals are to burning coals, and wood to fire; so is a contentious man to kindle strife.",,,
7-2r,Contention Strife Rashnes,pro. 12. 29,"Hee that troubleth his owne house 
shall Inherit the wynd",Proverbs 11.29,He that troubleth his own house shall inherit the wind: and the fool shall be servant to the wise of heart.,,,Misattributed the verse; ommited the last clause
7-2r,Contention Strife Rashnes,pro. 18. 19,"A Brother offended is harder to bee 
wone then a strong City, and their 
Contentions are like the barrs of 
A Castell",Proverbs 18.19,A brother offended is harder to be won than a strong city: and their contentions are like the bars of a castle.,,,
7-2r,Contention Strife Rashnes,Ecc. 8. 1,"Striue not with a mighty man 
least thou fall into his hands. bee 
not at varienc wth a Rich man. least 
hee ouercom thee, for Gold hath 
ouercom many: and peruerted 
the hearts of kings",Ecclesiasticus 8.1-2,"1 Strive not with a mighty man' lest thou fall into his hands. 2 Be not at variance with a rich man, lest he overweigh thee: for gold hath destroyed many, and perverted the hearts of kings.",,,No attribution for verse 2
7-2v,Contention Strife Rashnes,pro. 17. 1,"Better is a Dry Morcell & quietnes 
therwith. then a house full of 
Sacrifise with Strife",Proverbs 17.1,"Better is a dry morsel, and quietness therewith, than an house full of sacrifices with strife.",,,
7-2v,Contention Strife Rashnes,Ecc. 23. 13,"Vse not thy mouth to Ignorant 
Rashnes, or Inordinat Swearing 
for therin is occasion of Syn",Ecclesiasticus 23.13,"Use not thy mouth to intemperate swearing, for therein is the word of sin.",,,
